
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2013,23,OAK,AL,5,3,.625,2.67,12,10,0,0,0,0,64.0,51,22,19,4,20,0,67,0,1,2,261,146,2.70,1.109,7.2,0.6,2.8,9.4,3.35,
2014,24,OAK,AL,14,10,.583,3.08,33,33,0,2,2,0,219.0,187,84,75,15,74,2,183,7,0,15,899,120,3.46,1.192,7.7,0.6,3.0,7.5,2.47,
2015 ★,25,OAK,AL,14,7,.667,2.73,31,31,0,3,2,0,208.0,166,71,63,17,59,0,169,2,0,13,831,147,3.45,1.082,7.2,0.7,2.6,7.3,2.86,ASCYA-3
3 Yrs,3 Yrs,3 Yrs,3 Yrs,33,20,.623,2.88,76,74,0,5,4,0,491.0,404,177,157,36,153,2,419,9,1,30,1991,134,3.36,1.134,7.4,0.7,2.8,7.7,2.74,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,9,.623,2.88,34,34,0,2,2,0,223,183,80,71,16,69,1,190,4,0,14,903,134,3.36,1.134,7.4,0.7,2.8,7.7,2.74,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (3 yrs),AL (3 yrs),AL (3 yrs),AL (3 yrs),33,20,.623,2.88,76,74,0,5,4,0,491.0,404,177,157,36,153,2,419,9,1,30,1991,134,3.36,1.134,7.4,0.7,2.8,7.7,2.74,
