Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,Hank Aaron,1982,23,1954,1976,25,143,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,0.305,0.374,0.555,0.928
2,Pete Alexander,1938,20,1911,1930,0,3,703,1979,1810,154,378,60,13,11,163,3,5,77,276,,,,88,0.209,0.242,0.275,0.517
3,Roberto Alomar,2011,17,1988,2004,12,67.1,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,0.3,0.371,0.443,0.814
4,Walter Alston,1983,1,1936,1936,0,0,1,1,1,0,0,0,0,0,0,0,,0,1,,0,,0,0,0,0,0
5,Sparky Anderson,2000,1,1959,1959,0,-1.2,152,527,477,42,104,9,3,0,34,6,9,42,53,1,15,2,5,0.218,0.282,0.249,0.531
6,Cap Anson,1939,27,1871,1897,0,94.2,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,,6,,34,0.334,0.394,0.447,0.841
7,Luis Aparicio,1984,18,1956,1973,13,55.8,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,0.262,0.311,0.343,0.653
8,Luke Appling,1964,20,1930,1950,7,74.4,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,33,129,,74,0.31,0.399,0.398,0.798
9,Richie Ashburn,1995,15,1948,1962,6,63.9,2189,9736,8365,1322,2574,317,109,29,586,234,117,1198,571,40,83,18,112,0.308,0.396,0.382,0.778
10,Earl Averill,1975,13,1929,1941,6,48,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,0,7,,55,0.318,0.395,0.534,0.928
11,Jeff Bagwell,2017,15,1991,2005,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,0.297,0.408,0.54,0.948
12,Home Run Baker,1955,13,1908,1922,0,62.8,1575,6676,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,0.307,0.363,0.442,0.805
13,Dave Bancroft,1971,16,1915,1930,0,48.6,1913,8249,7182,1048,2004,320,77,32,591,145,75,827,487,,,,212,0.279,0.355,0.358,0.714
14,Ernie Banks,1977,19,1953,1971,14,67.5,2528,10395,9421,1305,2583,407,90,512,1636,50,53,763,1236,202,229,96,45,0.274,0.33,0.5,0.83
15,Jake Beckley,1971,20,1888,1907,0,61.6,2392,10517,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,0.308,0.361,0.436,0.797
16,Johnny Bench,1989,17,1967,1983,14,75.2,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,0.267,0.342,0.476,0.817
17,Chief Bender,1953,16,1903,1925,0,5.1,507,1276,1147,102,243,40,10,6,116,20,2,75,160,,,,42,0.212,0.266,0.28,0.546
18,Yogi Berra,1972,19,1946,1965,18,59.4,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,91,146,44,9,0.285,0.348,0.482,0.83
19,Craig Biggio,2015,20,1988,2007,7,65.5,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,150,81,101,0.281,0.363,0.433,0.796
20,Bert Blyleven,2011,22,1970,1992,2,-1.6,218,514,451,19,59,7,0,0,25,0,0,5,193,0,4,0,56,0.131,0.144,0.146,0.29
21,Wade Boggs,2005,18,1982,1999,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,0.328,0.415,0.443,0.858
22,Jim Bottomley,1974,16,1922,1937,0,35.3,1991,8354,7471,1177,2313,465,151,219,1422,58,15,664,591,,33,,177,0.31,0.369,0.5,0.869
23,Lou Boudreau,1970,15,1938,1952,8,63,1646,7025,6029,861,1779,385,66,68,789,51,50,796,309,40,155,,164,0.295,0.38,0.415,0.795
24,Roger Bresnahan,1945,17,1897,1915,0,40.9,1446,5376,4481,682,1252,218,71,26,530,212,4,714,403,,,,112,0.279,0.386,0.377,0.764
25,George Brett,1999,21,1973,1993,13,88.7,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,229,235,120,26,0.305,0.369,0.487,0.857
26,Lou Brock,1985,19,1961,1979,6,45.3,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,124,114,46,47,0.293,0.343,0.41,0.753
27,Dan Brouthers,1945,19,1879,1904,0,79.8,1676,7691,6726,1529,2303,462,206,107,1301,257,,840,238,,,,20,0.342,0.423,0.52,0.943
28,Mordecai Brown,1949,14,1903,1916,0,1.1,493,1240,1143,93,235,20,11,2,73,8,0,44,199,,,,49,0.206,0.236,0.248,0.483
29,Willard Brown,2006,1,1947,1947,0,-0.7,21,67,67,4,12,3,0,1,6,2,2,0,7,0,2,,0,0.179,0.179,0.269,0.448
30,Jim Bunning,1996,17,1955,1971,9,-0.9,601,1401,1275,82,213,21,4,7,75,0,2,34,362,0,36,6,85,0.167,0.188,0.206,0.395
31,Jesse Burkett,1946,16,1890,1905,0,62.7,2067,9620,8426,1720,2850,320,182,75,952,389,,1029,613,,,,90,0.338,0.415,0.446,0.861
32,Roy Campanella,1969,10,1948,1957,8,34.1,1215,4815,4205,627,1161,178,18,242,856,25,20,533,501,113,143,18,30,0.276,0.36,0.5,0.86
33,Rod Carew,1991,19,1967,1985,18,81.3,2469,10550,9315,1424,3053,445,112,92,1015,353,187,1018,1028,144,216,64,128,0.328,0.393,0.429,0.822
34,Max Carey,1961,20,1910,1929,0,54,2476,10768,9363,1545,2665,419,159,70,802,738,109,1040,695,,,,290,0.285,0.361,0.386,0.747
35,Steve Carlton,1994,24,1965,1988,10,6.1,699,1881,1719,123,346,49,6,13,140,2,2,41,413,0,33,13,94,0.201,0.223,0.259,0.482
36,Gary Carter,2003,19,1974,1992,11,70.1,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,106,180,99,33,0.262,0.335,0.439,0.773
37,Orlando Cepeda,1999,17,1958,1974,11,50.2,2124,8698,7927,1131,2351,417,27,379,1365,142,80,588,1169,154,218,74,4,0.297,0.35,0.499,0.849
38,Frank Chance,1946,17,1898,1914,0,45.6,1288,5112,4299,798,1274,200,79,20,596,403,0,556,320,,,,111,0.296,0.394,0.394,0.788
39,Jack Chesbro,1946,11,1899,1909,0,0.2,393,1152,1103,85,217,37,13,5,82,5,,25,269,,,,21,0.197,0.216,0.267,0.483
40,Fred Clarke,1945,21,1894,1915,0,67.9,2246,9851,8584,1622,2678,361,220,67,1015,509,0,875,511,,,,225,0.312,0.386,0.429,0.814
41,John Clarkson,1963,12,1882,1894,0,-1.8,546,2060,1974,254,432,73,26,24,232,31,,81,382,,,,4,0.219,0.25,0.319,0.569
42,Roberto Clemente,1973,18,1955,1972,15,94.5,2433,10211,9454,1416,3000,440,166,240,1305,83,46,621,1230,167,275,66,36,0.317,0.359,0.475,0.834
43,Ty Cobb,1936,24,1905,1928,0,151,3034,13099,11439,2243,4189,724,295,117,1944,897,212,1249,680,,,,292,0.366,0.433,0.512,0.945
44,Mickey Cochrane,1947,13,1925,1937,2,52.1,1482,6208,5169,1041,1652,333,64,119,830,64,45,857,217,,,,151,0.32,0.419,0.478,0.897
45,Eddie Collins,1939,25,1906,1930,0,124,2826,12078,9949,1821,3315,438,187,47,1299,741,195,1499,467,,,,512,0.333,0.424,0.429,0.853
46,Jimmy Collins,1945,14,1895,1908,0,53.3,1725,7447,6795,1055,1999,352,116,65,983,194,,426,266,,,,147,0.294,0.343,0.409,0.752
47,Earle Combs,1970,12,1924,1935,0,42.5,1455,6514,5746,1186,1866,309,154,58,633,98,71,670,278,,,,74,0.325,0.397,0.462,0.859
48,Charlie Comiskey,1939,13,1882,1894,0,7.7,1390,6040,5796,992,1529,207,68,28,883,416,,197,132,,,,5,0.264,0.293,0.337,0.63
49,Jocko Conlan,1974,2,1934,1935,0,-0.8,128,416,365,55,96,18,4,0,31,5,5,33,13,,,,17,0.263,0.328,0.334,0.662
50,Roger Connor,1976,18,1880,1897,0,84.3,1998,8847,7797,1620,2467,441,233,138,1323,244,,1002,455,,,,9,0.316,0.397,0.486,0.883
51,Stan Coveleski,1969,14,1912,1928,0,-5,451,1195,1058,70,168,26,10,1,81,0,1,53,309,,,,72,0.159,0.202,0.205,0.407
52,Bobby Cox,2014,2,1968,1969,0,0.9,220,719,628,50,141,22,2,9,58,3,3,75,126,14,17,7,3,0.225,0.31,0.309,0.619
53,Sam Crawford,1957,19,1899,1917,0,75.2,2517,10610,9570,1391,2961,458,309,97,1523,367,43,760,580,,,,241,0.309,0.362,0.452,0.814
54,Joe Cronin,1956,20,1926,1945,7,66.4,2124,8840,7579,1233,2285,515,118,170,1424,87,71,1059,700,12,57,,166,0.301,0.39,0.468,0.857
55,Candy Cummings,1939,6,1872,1877,0,-2.1,247,1084,1068,149,227,29,9,0,107,3,2,16,51,,4,,,0.213,0.224,0.257,0.481
56,Kiki Cuyler,1968,18,1921,1938,1,46.7,1879,8100,7161,1305,2299,394,157,128,1065,328,27,676,752,,53,,176,0.321,0.386,0.474,0.86
57,George Davis,1998,20,1890,1909,0,84.7,2372,10185,9045,1545,2665,453,163,73,1440,619,,874,613,,,,184,0.295,0.362,0.405,0.767
58,Andre Dawson,2010,21,1976,1996,8,64.8,2627,10769,9927,1373,2774,503,98,438,1591,314,109,589,1509,143,217,118,24,0.279,0.323,0.482,0.806
59,Dizzy Dean,1953,12,1930,1947,4,2.2,325,766,717,76,161,23,4,8,76,5,0,9,104,0,12,,39,0.225,0.235,0.301,0.536
60,Ed Delahanty,1945,16,1888,1903,0,69.7,1837,8400,7510,1600,2597,522,186,101,1466,456,,742,439,,,,54,0.346,0.411,0.505,0.917
61,Bill Dickey,1954,17,1928,1946,11,55.8,1789,7065,6300,930,1969,343,72,202,1209,36,32,678,289,26,49,,51,0.313,0.382,0.486,0.868
62,Joe DiMaggio,1955,13,1936,1951,13,78.1,1736,7672,6821,1390,2214,389,131,361,1537,30,9,790,369,74,130,,14,0.325,0.398,0.579,0.977
63,Larry Doby,1998,13,1947,1959,7,49.6,1533,6299,5348,960,1515,243,52,253,970,47,36,871,1011,60,97,25,20,0.283,0.386,0.49,0.876
64,Bobby Doerr,1986,14,1937,1951,9,51.2,1865,8028,7093,1094,2042,381,89,223,1247,54,64,809,608,43,187,,115,0.288,0.362,0.461,0.823
65,Don Drysdale,1984,14,1956,1969,9,5.8,547,1309,1169,96,218,26,7,29,113,0,2,60,370,0,34,6,69,0.186,0.228,0.295,0.523
66,Hugh Duffy,1945,17,1888,1906,0,43.1,1737,7841,7044,1554,2293,325,119,106,1302,574,,664,268,,,,104,0.326,0.386,0.451,0.837
67,Leo Durocher,1994,17,1925,1945,3,5.1,1637,5829,5350,575,1320,210,56,24,567,31,6,377,480,0,109,,82,0.247,0.299,0.32,0.619
68,Dennis Eckersley,2004,24,1975,1998,6,-0.2,218,196,181,9,24,3,0,3,12,0,0,9,84,0,1,1,5,0.133,0.173,0.199,0.372
69,Johnny Evers,1946,18,1902,1929,0,47.7,1784,7220,6137,919,1659,216,70,12,536,324,26,778,293,,,,256,0.27,0.356,0.334,0.69
70,Buck Ewing,1939,18,1880,1897,0,47.7,1315,5772,5363,1129,1625,250,178,71,883,354,,392,294,,,,8,0.303,0.351,0.456,0.807
71,Red Faber,1964,20,1914,1933,0,-3.6,670,1556,1269,98,170,21,2,3,71,7,0,169,479,,,,104,0.134,0.24,0.161,0.401
72,Bob Feller,1962,18,1936,1956,8,-1.7,570,1483,1282,99,193,28,13,8,99,1,2,100,505,0,15,0,100,0.151,0.214,0.211,0.425
73,Rick Ferrell,1984,18,1929,1947,8,29.8,1884,7076,6028,687,1692,324,45,28,734,29,35,931,277,23,55,,103,0.281,0.378,0.363,0.741
74,Rollie Fingers,1992,17,1968,1985,7,0.6,497,201,180,10,31,3,0,2,9,0,0,3,45,0,2,0,18,0.172,0.186,0.222,0.408
75,Carlton Fisk,2000,24,1969,1993,11,68.5,2499,9853,8756,1276,2356,421,47,376,1330,128,58,849,1386,105,204,79,26,0.269,0.341,0.457,0.797
76,Elmer Flick,1963,13,1898,1910,0,53.2,1483,6417,5597,950,1752,268,164,48,756,330,,597,567,,,,121,0.313,0.389,0.445,0.834
77,Whitey Ford,1974,16,1950,1967,10,3.4,500,1207,1023,91,177,19,0,3,69,3,2,113,224,0,10,4,65,0.173,0.256,0.2,0.457
78,Nellie Fox,1997,19,1947,1965,15,49,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,30,175,48,208,0.288,0.348,0.363,0.71
79,Jimmie Foxx,1951,20,1925,1945,9,96.1,2317,9676,8134,1751,2646,458,125,534,1922,87,76,1452,1311,16,69,,71,0.325,0.428,0.609,1.038
80,Frankie Frisch,1947,19,1919,1937,3,70.4,2311,10099,9112,1532,2880,466,138,105,1244,419,74,728,272,,55,,229,0.316,0.369,0.432,0.801
81,Pud Galvin,1965,15,1875,1892,0,-9.8,731,2788,2748,278,552,87,31,5,220,23,0,38,631,,1,,,0.201,0.212,0.261,0.473
82,Lou Gehrig,1939,17,1923,1939,7,112.4,2164,9665,8001,1888,2721,534,163,493,1995,102,100,1508,790,,2,,106,0.34,0.447,0.632,1.08
83,Charlie Gehringer,1949,19,1924,1942,6,80.7,2323,10244,8860,1775,2839,574,146,184,1427,181,90,1186,372,5,27,,141,0.32,0.404,0.48,0.884
84,Bob Gibson,1981,17,1959,1975,9,7.5,596,1489,1328,132,274,44,5,24,144,13,10,63,415,0,13,18,72,0.206,0.243,0.301,0.545
85,Tom Glavine,2014,22,1987,2008,10,6.8,688,1645,1323,93,246,25,2,1,90,1,0,101,329,0,14,3,216,0.186,0.244,0.21,0.454
86,Lefty Gomez,1972,14,1930,1943,7,-4.6,368,1023,904,59,133,11,0,0,58,1,1,50,252,0,5,,68,0.147,0.194,0.159,0.353
87,Joe Gordon,2009,11,1938,1950,9,57.2,1566,6535,5707,914,1530,264,52,253,975,89,60,759,702,66,159,,41,0.268,0.357,0.466,0.822
88,Goose Goslin,1968,18,1921,1938,1,66.1,2287,9829,8656,1482,2735,500,173,248,1612,176,89,949,585,,,,162,0.316,0.387,0.5,0.887
89,Rich Gossage,2008,22,1972,1994,9,-0.5,388,93,85,1,9,1,0,0,2,0,0,4,37,0,2,0,4,0.106,0.146,0.118,0.264
90,Hank Greenberg,1956,13,1930,1947,5,57.6,1394,6098,5193,1046,1628,379,71,331,1274,58,30,852,844,24,66,,35,0.313,0.412,0.605,1.017
91,Ken Griffey Jr.,2016,22,1989,2010,13,83.8,2671,11304,9801,1662,2781,524,38,630,1836,184,69,1312,1779,246,199,102,8,0.284,0.37,0.538,0.907
