Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
125,Willie Keeler,1939,19,1892,1910,0,54.1,2123,9607,8591,1719,2932,241,145,33,810,495,,524,136,,,,366,0.341,0.388,0.415,0.802
126,George Kell,1983,15,1943,1957,10,37.4,1795,7529,6702,880,2054,385,50,78,870,51,36,621,287,33,188,20,149,0.306,0.367,0.414,0.781
127,Joe Kelley,1971,17,1891,1908,0,50.7,1853,8138,7006,1421,2220,358,194,65,1194,443,,911,430,,,,140,0.317,0.402,0.451,0.853
128,High Pockets Kelly,1973,16,1915,1932,0,25.3,1622,6570,5993,819,1778,337,76,148,1020,65,43,386,694,,,,158,0.297,0.342,0.452,0.794
129,King Kelly,1945,16,1878,1893,0,44.3,1456,6457,5896,1357,1813,359,102,69,950,368,,549,418,,,,,0.307,0.368,0.438,0.806
130,Harmon Killebrew,1984,22,1954,1975,13,60.4,2435,9833,8147,1283,2086,290,24,573,1584,19,18,1559,1699,160,243,77,0,0.256,0.376,0.509,0.884
131,Ralph Kiner,1975,10,1946,1955,6,49.4,1472,6256,5205,971,1451,216,39,369,1015,22,18,1011,749,90,126,7,9,0.279,0.398,0.548,0.946
132,Chuck Klein,1980,17,1928,1944,2,43.6,1753,7171,6486,1168,2076,398,74,300,1201,79,2,601,521,2,55,,69,0.32,0.379,0.543,0.922
133,Sandy Koufax,1972,12,1955,1966,7,-4.2,397,858,776,26,75,9,0,2,28,0,1,43,386,0,10,3,35,0.097,0.145,0.116,0.261
134,Tony La Russa,2014,6,1963,1973,0,-0.7,132,203,176,15,35,5,2,0,7,0,0,23,37,1,2,2,1,0.199,0.292,0.25,0.542
135,Nap Lajoie,1937,21,1896,1916,0,107.4,2480,10460,9590,1504,3243,657,163,82,1599,380,26,516,347,,,,221,0.338,0.38,0.466,0.846
136,Barry Larkin,2012,19,1986,2004,12,70.4,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,66,178,67,59,0.295,0.371,0.444,0.815
137,Tom Lasorda,1997,3,1954,1956,0,-0.2,27,14,14,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0.071,0.071,0.071,0.143
138,Tony Lazzeri,1991,14,1926,1939,1,50,1740,7315,6297,986,1840,334,115,178,1194,148,79,869,864,,8,,116,0.292,0.38,0.467,0.846
139,Bob Lemon,1976,15,1941,1958,7,10.4,615,1326,1183,148,274,54,9,37,147,2,1,93,241,0,9,3,49,0.232,0.288,0.386,0.674
140,Freddie Lindstrom,1976,13,1924,1936,0,28.4,1438,6108,5611,895,1747,301,81,103,779,84,10,334,276,,35,,146,0.311,0.351,0.449,0.8
141,Ernie Lombardi,1986,17,1931,1947,8,45.9,1853,6352,5855,601,1792,277,27,190,990,8,4,430,262,50,261,,18,0.306,0.358,0.46,0.818
142,Al Lopez,1977,19,1928,1947,2,16.6,1950,6608,5916,613,1547,206,43,51,652,46,9,556,538,55,137,,121,0.261,0.326,0.337,0.663
143,Ted Lyons,1955,21,1923,1946,1,3.9,705,1726,1563,162,364,49,9,5,149,0,1,73,201,0,9,,83,0.233,0.27,0.285,0.556
144,Connie Mack,1937,11,1886,1896,0,5.6,724,2949,2698,392,659,79,28,5,265,127,,170,127,,,,17,0.244,0.305,0.3,0.604
145,Greg Maddux,2014,23,1986,2008,8,1.8,737,1812,1591,103,272,35,2,5,84,11,3,34,419,0,15,2,180,0.171,0.191,0.205,0.395
146,Mickey Mantle,1974,18,1951,1968,20,110.3,2401,9907,8102,1676,2415,344,72,536,1509,153,38,1733,1710,148,113,47,14,0.298,0.421,0.557,0.977
147,Heinie Manush,1964,17,1923,1939,1,45.8,2008,8420,7654,1288,2524,491,160,110,1183,113,59,506,345,,11,,186,0.33,0.377,0.479,0.856
148,Rabbit Maranville,1954,23,1912,1935,0,42.9,2670,11255,10078,1256,2605,380,177,28,884,291,112,839,756,,21,,300,0.258,0.318,0.34,0.658
149,Juan Marichal,1983,16,1960,1975,10,1.1,464,1342,1221,73,202,29,2,4,75,2,5,38,269,0,20,7,71,0.165,0.191,0.202,0.393
150,Rube Marquard,1971,18,1908,1925,0,-2.3,536,1192,1107,63,198,17,3,1,66,6,2,33,208,,,,48,0.179,0.207,0.202,0.41
151,Pedro Martinez,2015,18,1992,2009,8,-2.2,277,518,434,22,43,6,2,0,18,0,0,15,190,0,5,3,63,0.099,0.134,0.122,0.256
152,Eddie Mathews,1978,17,1952,1968,12,96.6,2391,10100,8537,1509,2315,354,72,512,1453,68,39,1444,1487,142,123,58,36,0.271,0.376,0.509,0.885
153,Christy Mathewson,1936,17,1900,1916,0,6.3,647,1893,1687,151,362,50,12,7,167,20,1,116,218,,,,69,0.215,0.272,0.271,0.543
154,Willie Mays,1979,22,1951,1973,24,156.4,2992,12496,10881,2062,3283,523,140,660,1903,338,103,1464,1526,214,251,91,13,0.302,0.384,0.557,0.941
155,Bill Mazeroski,2001,17,1956,1972,10,36.5,2163,8379,7755,769,2016,294,62,138,853,27,23,447,706,110,194,70,87,0.26,0.299,0.367,0.667
156,Tommy McCarthy,1946,13,1884,1896,0,16.2,1273,5739,5120,1066,1493,191,53,44,732,468,,536,185,,,,33,0.292,0.364,0.375,0.74
157,Willie McCovey,1986,22,1959,1980,6,64.5,2588,9692,8197,1229,2211,353,46,521,1555,26,22,1345,1550,260,176,70,5,0.27,0.374,0.515,0.889
158,Joe McGinnity,1946,10,1899,1908,0,-2.9,477,1423,1297,109,251,21,10,0,90,26,,34,158,,,,81,0.194,0.221,0.225,0.446
159,John McGraw,1937,17,1891,1907,0,45.7,1100,4940,3924,1024,1309,121,70,13,462,436,,836,155,,,,46,0.334,0.466,0.41,0.876
160,Bill McKechnie,1962,11,1907,1920,0,3.3,846,3178,2843,319,713,86,33,8,240,127,4,190,204,,,,132,0.251,0.301,0.313,0.614
161,Bid McPhee,2000,18,1882,1899,0,52.6,2138,9429,8304,1684,2258,303,189,53,1072,568,,982,377,,,,56,0.272,0.355,0.373,0.728
162,Joe Medwick,1968,17,1932,1948,10,55.6,1984,8143,7635,1198,2471,540,113,205,1383,42,16,437,551,39,203,,44,0.324,0.362,0.505,0.867
163,Johnny Mize,1981,15,1936,1953,10,70.9,1884,7370,6443,1118,2011,367,83,359,1337,28,6,856,524,70,99,,20,0.312,0.397,0.562,0.959
164,Paul Molitor,2004,21,1978,1998,7,75.7,2683,12167,10835,1782,3319,605,114,234,1307,504,131,1094,1244,100,209,109,75,0.306,0.369,0.448,0.817
165,Joe Morgan,1990,22,1963,1984,10,100.6,2649,11329,9277,1650,2517,449,96,268,1133,689,162,1865,1015,76,105,96,51,0.271,0.392,0.427,0.819
166,Jack Morris,2018,18,1977,1994,5,-0.1,23,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Eddie Murray,2003,21,1977,1997,8,68.7,3026,12817,11336,1627,3255,560,35,504,1917,110,43,1333,1516,222,315,128,2,0.287,0.359,0.476,0.836
168,Stan Musial,1969,22,1941,1963,24,128.2,3026,12718,10972,1949,3630,725,177,475,1951,78,71,1599,696,298,243,53,35,0.331,0.417,0.559,0.976
169,Hal Newhouser,1992,17,1939,1955,7,2.6,492,1159,999,70,201,22,2,2,81,3,3,89,150,0,24,0,72,0.201,0.267,0.233,0.5
170,Kid Nichols,1949,15,1890,1906,0,-0.4,650,2264,2090,273,472,58,24,16,278,19,,137,343,,,,25,0.226,0.277,0.3,0.577
171,Phil Niekro,1997,24,1964,1987,5,-1.1,742,1707,1537,80,260,42,1,7,109,0,1,17,314,0,35,12,129,0.169,0.183,0.211,0.395
