
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2014,26,NYM,NL,9,6,.600,2.69,22,22,0,0,0,0,140.1,117,44,42,7,43,2,144,1,0,1,565,128,2.67,1.140,7.5,0.4,2.8,9.2,3.35,RoY-1
2015 ★,27,NYM,NL,14,8,.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,145,2.70,0.979,7.0,0.8,1.8,9.7,5.39,ASCYA-7
2 Yrs,2 Yrs,2 Yrs,2 Yrs,23,14,.622,2.61,52,52,0,0,0,0,331.1,266,103,96,23,81,4,349,3,0,7,1316,138,2.69,1.047,7.2,0.6,2.2,9.5,4.31,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,15,9,.622,2.61,34,34,0,0,0,0,217,174,67,63,15,53,3,228,2,0,5,860,138,2.69,1.047,7.2,0.6,2.2,9.5,4.31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (2 yrs),NL (2 yrs),NL (2 yrs),NL (2 yrs),23,14,.622,2.61,52,52,0,0,0,0,331.1,266,103,96,23,81,4,349,3,0,7,1316,138,2.69,1.047,7.2,0.6,2.2,9.5,4.31,
