
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2012,23,NYM,NL,3,5,.375,2.73,10,10,0,0,0,0,59.1,42,19,18,5,26,0,70,3,0,3,245,140,3.30,1.146,6.4,0.8,3.9,10.6,2.69,
2013 ★,24,NYM,NL,9,5,.643,2.27,26,26,0,1,1,0,178.1,135,46,45,7,31,1,191,4,0,2,690,157,2.01,0.931,6.8,0.4,1.6,9.6,6.16,ASCYA-4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,26,NYM,NL,13,8,.619,2.71,29,29,0,0,0,0,189.1,156,62,57,18,37,2,188,5,0,4,755,136,3.05,1.019,7.4,0.9,1.8,8.9,5.08,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,25,18,.581,2.53,65,65,0,1,1,0,427.0,333,127,120,30,94,3,449,12,0,9,1690,144,2.65,1.000,7.0,0.6,2.0,9.5,4.78,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,9,.581,2.53,34,34,0,1,1,0,223,174,66,63,16,49,2,235,6,0,5,884,144,2.65,1.000,7.0,0.6,2.0,9.5,4.78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (3 yrs),NL (3 yrs),NL (3 yrs),NL (3 yrs),25,18,.581,2.53,65,65,0,1,1,0,427.0,333,127,120,30,94,3,449,12,0,9,1690,144,2.65,1.000,7.0,0.6,2.0,9.5,4.78,
