
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2013,22,PIT,NL,10,7,.588,3.22,19,19,0,0,0,0,117.1,109,43,42,7,28,0,100,3,0,4,469,111,2.91,1.168,8.4,0.5,2.1,7.7,3.57,
2014,23,PIT,NL,11,5,.688,3.65,22,22,0,0,0,0,138.0,127,58,56,11,40,1,138,9,1,9,571,99,3.23,1.210,8.3,0.7,2.6,9.0,3.45,
2015 ★,24,PIT,NL,19,8,.704,2.60,32,32,0,0,0,0,208.0,183,71,60,11,44,1,202,10,0,7,832,148,2.66,1.091,7.9,0.5,1.9,8.7,4.59,ASCYA-4MVP-19
3 Yrs,3 Yrs,3 Yrs,3 Yrs,40,20,.667,3.07,73,73,0,0,0,0,463.1,419,172,158,29,112,2,440,22,1,20,1872,121,2.89,1.146,8.1,0.6,2.2,8.5,3.93,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,19,9,.667,3.07,34,34,0,0,0,0,216,195,80,74,14,52,1,205,10,0,9,872,121,2.89,1.146,8.1,0.6,2.2,8.5,3.93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (3 yrs),NL (3 yrs),NL (3 yrs),NL (3 yrs),40,20,.667,3.07,73,73,0,0,0,0,463.1,419,172,158,29,112,2,440,22,1,20,1872,121,2.89,1.146,8.1,0.6,2.2,8.5,3.93,
