
Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2012,24,HOU,NL,3,8,.273,5.27,16,16,0,1,0,0,85.1,93,56,50,14,39,1,38,1,0,2,377,77,5.74,1.547,9.8,1.5,4.1,4.0,0.97,
2013,25,HOU,AL,6,10,.375,5.15,31,22,2,0,0,0,153.2,184,96,88,20,52,3,123,5,0,7,682,78,4.25,1.536,10.8,1.2,3.0,7.2,2.37,
2014,26,HOU,AL,12,9,.571,2.93,29,29,0,5,1,0,200.0,187,71,65,11,48,2,146,7,0,7,808,132,3.21,1.175,8.4,0.5,2.2,6.6,3.04,GG
2015 ★,27,HOU,AL,20,8,.714,2.48,33,33,0,3,2,0,232.0,185,68,64,17,51,0,216,2,0,9,911,162,2.91,1.017,7.2,0.7,2.0,8.4,4.24,ASCYA-1MVP-5GG
4 Yrs,4 Yrs,4 Yrs,4 Yrs,41,35,.539,3.58,109,100,2,9,3,0,671.0,649,291,267,62,190,6,523,15,0,25,2778,111,3.67,1.250,8.7,0.8,2.5,7.0,2.75,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,13,11,.539,3.58,35,33,1,3,1,0,218,211,95,87,20,62,2,170,5,0,8,904,111,3.67,1.250,8.7,0.8,2.5,7.0,2.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL (3 yrs),AL (3 yrs),AL (3 yrs),AL (3 yrs),38,27,.585,3.33,93,84,2,8,3,0,585.2,556,235,217,48,151,5,485,14,0,23,2401,119,3.37,1.207,8.5,0.7,2.3,7.5,3.21,
NL (1 yr),NL (1 yr),NL (1 yr),NL (1 yr),3,8,.273,5.27,16,16,0,1,0,0,85.1,93,56,50,14,39,1,38,1,0,2,377,77,5.74,1.547,9.8,1.5,4.1,4.0,0.97,
